Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,20.2,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2015,16.3,,ເປີເຊັນ,_L_LA_170101_01
2015,3.9,,ເປີເຊັນ,_L_LA_170101_02
2016,16.4,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2016,15.0,,ເປີເຊັນ,_L_LA_170101_01
2016,1.4,,ເປີເຊັນ,_L_LA_170101_02
2017,16.3,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2017,14.6,,ເປີເຊັນ,_L_LA_170101_01
2017,1.7,,ເປີເຊັນ,_L_LA_170101_02
2018,16.2,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2018,14.3,,ເປີເຊັນ,_L_LA_170101_01
2018,1.9,,ເປີເຊັນ,_L_LA_170101_02
2019,15.3,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2019,13.6,,ເປີເຊັນ,_L_LA_170101_01
2019,1.7,,ເປີເຊັນ,_L_LA_170101_02
